,text,sarcasm
75,I love college 😊😍 #Not,1
76,I have twitter. #twitter Maybe I'll make friends. #friends But probably not. #not,1
77,The silent treatment hurts so much that I rather argue to have you just speak to me,0
78,I follow so many ppl on social networks but they look in my face but don't speak . It's okay to speak I don't bit !,0
79,"Congratulations to Katrina Spooner, who has been asked to speak at the ElderCouncil this Friday! We are so proud...",0
80,adult halloween costumes are literally just kid-sized costumes that are marketed as sexy #annoying #notcoolguys #halloweenprobs,1
81,Feels so cool being able to speak to the natives en espanol! I wish I knew Catalan,0
82,"Being dry with me is a pet peeve , dont act like im forcing you to speak to me. So i just won't reply .",1
83,I literally do not understand rush hour traffic. The tollway is huge. Why do I just sit here? #therearenoaccidents #ridiculous #notok,1
84,Glad I can speak Spanish. Being able to only speak one language must be so boring 💤,0
85,I'm executing my fathers estate and need to speak with somebody so I'll call later. Thanks.,1
86,"Hi if you call into our Travel Shop with ticket we'll re-imburse difference, sorry! What time @15 was that? so we can speak to dvr",0
87,Getting high of morphine at the hospital #lifegoals,1
88,I LOVE IT WHEN I DON'T GET PAID FOR THE HARD WORK I DO AT MY JOB!!!,1
89,"Talking about #customerexperience this and that, why don't we just give away money!! I'm sure the #shareholders would love that!",1
90,I'm so fucking liberated to speak my mind. It took for me to become a writer to do it.,0
91,I'll just eat a few then I'll put them away #yeahright,1
92,Glad I waited til 2 hours before I have lab then have to immediately do my seminar on my research to start it. #ImSmart #Not,1
93,I just love sleeping thru alarms and nor going to classes im paying thousandths for #not,1
94,I just love how people try to tell me how I should feel. #not,1
95,I literally almost get in a car accident at least once a day... #stjohnstraffic #notmyfault #crazydrivers,1
96,Nothing like starting your Monday morning with a 4 hour test... #not 😭,1
97,Any land in which parents do not have first and last authority over what and how their children learn #is #not #free. ✿ Anthony Esolen,1
98,I feel so lucky to say that I was able to hear speak to RCAH today! Thank you !!!,0
99,Every Aquarius I know sounds so funny when we try to speak current slang...,0
100,I decided to speak english so much.who want to do the same thing?,0
101,"going to be so cute! XD Sometimes he sullenly refuse to speak when he gets angry with her, Elsa has a rough time! Haha X)",0
102,If you're going to speak about me in a lesson at least talk quieter so I don't hear you💁,0
103,I just love getting a play-by-play of Daves life I'm on snapchat #not,1
104,these children haha. I'm still a kid so I have no room to speak.,0
105,"I'm so fed up with everything, omw to the bud mans house as we speak",0
106,I am so fucking depressed. Listening to Alan Cochrane speak is like listening to Darth fucking Vader after an intelligence bypass. #indyref,1
107,wanted to speak to someone about making a complaint but on my mobile so would prefer not to ring an @ 0800 number.,0
108,I'm going to be so late on getting iOS 8 #yayyy #not #iOS8 #nothappy,1
109,About to hear Robert Shiller speak at my school so that's pretty awesome.,0
110,So apparently you used to speak to connor maynard😂😂😂😂,0
111,sometimes i say things and im like wow why did god give me the ability to speak im so dumb,0
112,"&amp; I wouldn't want my son not to speak Spanish , proper Spanish. So I'm trying to do all Spanish rn . He speaks both tho",0
113,about it and I called my mom at lunch but she kept saying hello? so I gave my phone to my friend to talk for me bc I couldn't speak,0
114,I'm glad my pets missed me while I was gone!!! #not #theyhateme #angrypets,1
115,I literally almost passed out because I went to shower and there was a huge bug in the shower. #nothanks,1
116,Best part of the night: getting throat punched. #NOT #youbitches,1
117,I'm helping Sunset Strip Music Festival Jane's Addiction. Need to speak w/ you. Plz follow me so I can private message u,0
118,"If your order has missed its estimated delivery date, please speak with us so we can help: ^DO",0
119,Another class display by Ozil #not,1
120,"How do you usually express your emotions? — I'm one to always speak my mind, so verbally, I guess. I also write.",0
121,I love having a car that doesn't run 😒 #not,1
122,The slamming of the doors is the best wake up call ever #ReallyThough #loud,1
123,I mean who doesn't love seeing the hatred in someone's eyes as they look at you tweet,1
124,"I have personally witnessed clogging to ""Smooth Criminal"" and ""Old Time Rock &amp; Roll"" so I know what I speak of.",0
125,"Thank you so much! No, I was asked to speak at a rehab hospital.",0
126,good luck with your new drummer then! I am sure he'll be loved. #not,1
127,nothing gets me quite as hard as losing ranked games over and over and over. LOVE IT. SO MUCH. #LeagueOfLegends,1
128,"Hello nightmares, I missed you #not",1
129,And I thought chugging coffee at 9 PM was a good idea...😑☕️ #not,1
130,i know but i get so nervous when i try to speak it that i'll say something wrong so i don't speak it when i neEeEeEd to,0
131,I'm gonna learn how to speak Portuguese so we can talk,0
132,My dad told Maria if she don't have anything nice to say then so speak at all so she came straight home from work and went to her room 🙊🙊🙊,0
133,"I'm gone sweep you off yo feet til you can't breathe ,cant speak . Put you to sleep so deep up in yo crease .You can't compete",0
134,"Are you still in NYC this week? If so, would love to speak with you about an awesome opportunity!! #startups #MENA",0
135,I live for this video,0
136,"hi,i wish to speak with you so hmu on my cell",0
137,If another MF tells me I gotta get married soon imma slap the bitch so hard he/she wnt be able to speak again!! #IJS,0
138,im going to sleep now so hope you have a lovely day and i will speak to you tomorrow! love you the most,0
139,3 bad days in a row... body you're doing great,1
140,I love when twitter follows people for me... #not,1
141,I love that finding the online readings I'm supposed to do for my class is like the worlds hardest scavenger hunt. #not 😡,1
142,A/C in my class never works. Tuition money at work right there. Thanks !!,1
143,"Everybody that comes into our party to play has questions. Most don't even understand everything. So, I speak for most.",0
144,"great to speak with you Tor, I'm so glad that business is Booming. Hard work &amp; passion always pays off, @150% growth is great!",1
145,Had a dream that I went on a tour with all of my favorite skateboarders and none of them would speak to me. Bummed me out so hard,1
146,"I'd like to. Maybe spanish, bc so many ppl speak it here in California.",0
147,I love it when my tumblr dashboard is filled with grey boxes. Saya. #not #FifthOnSingingBee Fifth On SingingBee,1
148,Having a discussion about the word clunge with my M.D &amp; manager .. anyone would think where I work is a normal office .. #Not,1
149,I know so many people that REALLY need to read this. 6 simple ways to improve the way you speak: (via,0
150,"glad the football player who beat his child is sorry and will only have to miss one game. i mean, why punish the victim in this.",1
151,Danny Welbeck is definitely doing for Arsenal what Sturridge is and has done for Liverpool! #Not,1
152,I know omg by the way I have to go to school now so speak later byee ^.^,0
153,bitches be wear'n anything. Why in the mirror all obese think she sexy #NOT #BADLOOK,1
154,Best start to my birthday ever! #NOT!!!,1
155,i just love when people don't send a snap back #not #snapwhore,1
156,Nothing a smile can't FIX. Not even tissues? #not #abnegation,1
157,I mean it's not like I've been a British citizen from birth and now just want to get my daughter a passport #OhWait #ComplexApplication #not,1
158,you ever wanna whop somebody ass so bad u don't even speak on it u jus wait til u see em to tolerate,0
159,I love when we used to have these awesome convos and now we barely talk 😐 #subtweet,1
160,My day is off to a fantastic start #not,1
161,"Good call, ump. it's called a ball when it's outside.",1
162,HAHAHAHAH that damn Indian trying so hard to speak without an accent 😂😂,1
163,"Enjoying another pleasant, not at all crowded journey with",0
164,but when bands go to other countries so say like and english band went to france would theh speak in between songs????,0
165,don't you love feeling like every single person you care about hates you? I know I do,1
166,For some reason I love staying up and making myself tired the next day..💀 #thatslogical #not #needtotakemyselftosleep,1
167,Everyone deserves a chance to speak to their sunshine so good luck everyone #Bumps5SOSFanCalls #Bumps5 #S #O #Fan #Calls,0
168,"if you speak to an intellectual, well educated 'true' muslim then you will beg to differ. There are so many Muslims you r yet 2 meet",0
169,If i don't trust you i don't like you. If i don't like you i don't speak to you. So if i aint speaking to you it's your fault.,0
170,guess it was a great day to wear sandals #not,1
171,"I have no filter anymore so like if you dont like what I have to say I dont care, I just speak my mind",0
172,#BizTip #Biz #Tip Your ideal clients need for you to speak their language so they know you're the solution to a problem they have.,1
173,when i saw her walking down the street she looked so fine i just had to speak,0
174,I like working 815-7. #not,1
175,Concussions are coool. #not,1
176,I might punch someone in the face today so fair warning to anybody I speak to,1
177,Don't you just love the rumours about you having sex with someone you never had sex with? I know I do #ratled 😊😊😊,1
178,I love when it rains hard before work then the sun comes out to make it humid af!,1
179,"I know it can often be very difficult, and I don't want to speak as an actual parents because I'm so not, but I agree.",0
180,I love spending $71 on supplements!! #not,1
181,I'm glad the quiz questions correspond with the chapter #not,1
182,When I speak to bae sometimes I get so excited that I think I'm going to throw up,0
183,So cool to have the AD of the school you're playing Saturday speak to your class. Thank you,0
184,I worry that when I speak it's annoying to others so I tweet a lot and that way you have the option to not see what I have to say,0
185,I have to sit in biology for three hours tomorrow so... Speak for yourself! 😭,1
186,I wish I knew how to speak wine. Wine talk is so lavish.,0
187,I absolutely love third wheeling. #not,1
188,I don't know how it was worded to you so I can't really speak about specifics but I guess we all have our own opinions,0
189,Been in chem for an hr and 20 min and we have gotten through 7 slides #ilovechemistry #not,1
190,"I would love to see the ""hundreds"" of complaints. Scary that you claim to speak in behalf of so many.",0
191,I love how I have so much energy when I want to go to bed. #NOT,1
192,"I hate my little cousin on IG. She wants to be a paisa so bad. Like bitch you don't speak Spanish, your mom don't, your grandma dont either.",0
193,I love waking up in the middle of the night to cramps. #not,1
194,"Good job, NFL, you really know how to handle criminals. #not #yousuckatlife",1
195,oh how I love playing phone tag #not,1
196,Apartment shopping is so fun #not #exhausted ☺😩,1
197,I literally tell people not to sit by me in this class cause I hate them... #NotEvenSorry,1
198,ikr that's why usually i say that they shouldn't speak to me (bc im fat too so it makes sense to ignore me as well),1
199,I am so excited to focus on new characters for the last season of Glee when we still have the old ones to focus on......,1
200,God said that He will be w/ us to the very ends of the world. So when you feel like giving up .. just speak to God. He hears you everytime.,0
201,I literally had no idea what I was doing on those exams.But I managed to pass 2/4 AP tests this year with little to no studying!#notbad,1
202,My daddy taught me how to speak my mind My sister taught me I should speak my mind My man make me feel so goddam fine I'm flawless,0
203,"Because we can kill viruses...#NOT Hypocrite Obama Decides to Send Troops Against Ebola, Not ISIS via",1
204,These boys make me so happy and so would me getting the opportunity to speak to them! Please 💖🙏✨ #Bump5SOSFanCalls #Bump5 #S #O #Fan #Calls,0
205,Im laughing so much #bi #bipolar #instaquote #funny #dating by kayleighhh89,1
206,I love fundraisers. Schools you can made so much off sports fundraising. Contact me I would live to speak with...,0
207,I jus wan no y u didnt speak to her � She ont speak so i dont speak,0
208,Find it so funny that you won't speak to me cause you think my best friends my boyfriend 😂😂😂✊✊✊✊,0
209,Don't understand how people can speak so negatively about someone yet act so close &amp; friendly to that person? I can't do fake.,0
210,I just love it when my brackets come off my teeth 😌 #NOT,1
211,"yes it does! Aha I wish, if only eh! Well I'm gonna catch an early night so I'll speak to you in a couple of days hun xx",0
212,I'm So Erked Nobody Better Not Speak To Me,0
213,Absolutely in love with ppl that ignore me #not,1
214,I love learning the study of how children learn to speak it changes so quickly in just a few short years. #csd1080go,0
215,I hope so! Maybe you'll have more luck than me getting him to speak Spanish!,0
216,I don't fuck with prople 😏 #100 so if I was to see you somewhere don't speak to me cause I don't know you 👌✊😂😘,0
217,"I love not having word on my computer its great, I can open up everything on blackboard. #not",1
218,I just absolutely LOVE traveling by sardine can! It's my all-time favorite! #MBTA,1
219,Good thing the SAS advisors are so nice and helpful!!!!! #not #fu,1
220,I love cleaning as soon as I wake up. #Not,1
221,So they speak English rather than German ! ur not going back to the old country then ;) ? x,0
222,About to make up an entire essay good think I'm creative 😅 #not,1
223,A locker door to the face really feels amazing! 👌 #not,1
224,"If I may be so bold as to speak for the group, your Chamonix peeps are so excited for you! 19 years ago. Life sure is #Wild.",0
225,Bitches know so much til it's time to speak up...then you hear crickets,0
226,Falling asleep to the sound of screaming is truly a beautiful thing #not,1
227,I just love how my manager thinks I could handle anything.. tweet #itsGoodButbad,1
228,An artist render of the world on Friday the 19th in the event of a #YesVote. #YeahRight #VoteYes,1
229,"I love playing ""find the error"" in Accounting. #worklife",1
230,How lovely. It's too damn hot in the bed. Let's stay awake for another night #off,0
231,A sucky day is about to end and ultimately lead to another sucky day. I'm just so excited.,1
232,I have 0-2 friends and they family so I have only ppl I speak to while at work which none of them can be trusted to be friends�,0
233,Wanting to speak to someone but knowing they're busy so you try to keep your distance 😩,0
234,i am so anxious tonight and i am home alone and no one is awake to speak to n nothing's working this is not fun,1
235,I know I look awful thanks for reminding me pal👌 #not #k #leave #notinthemood,1
236,I just love writing 3 page essays first thing in the morning on a Monday #not,1
237,I know that I'll love it but my fave country is Denmark cuz my love is there I want to go to Germany cuz I speak german so idk,0
238,A coworker just told me i look tired and i said thanks and he was like that wasnt a compliment.. well that made my day so much better #not,1
239,Girls that act like boys are so much better to speak to than normal girls,0
240,"if speak in spanish to you, im so fucking sorry for every mistake im about to make.",0
241,"To the guy who was just singing as he walked past our bedroom window, thank you very much for the wake up call! #not",1
242,"Excited to speak at on October 9! So excited I'm gonna do two talks--one on ""Does Jesus Really Love Me?"" + one on journalism.",0
243,I can't wait to get access to these systems so I can actually start working. I'm bored. But let me not speak too soon.,0
244,I love work 💙 #not,1
245,"I have to be up for court tomorrow , I'm like so nervous idk how to speak to a judge lol im a good girl , idk how this shit works",0
246,you don't realise how much ily you make me so happy &amp; proud I wish I could speak to u every single day it would make me smile,0
247,IDK HOW TO SPEAK ENGLISH ANYMORE SO I'M SORRY IF I MENTIONED YOU W/ WRONG WORDS I SPEAK PORTUGUESE BTW 😂,0
248,I love being ignored #not,1
249,just last year everyone was so quick to speak &amp; be cool but now it's all this grilling 😭,0
250,"I honestly think that you speak to so many different topics in a voice that hits home, that you need a talk show.",0
251,Everyone has so many online friends then I have one that I barley speak to anymore lol,0
252,Exactly the kind of email I wish to receive after unsubscribing from an email list. #not,1
253,"The thoughts you think become your reality. So think and speak positive, affirming words to yourself and others &lt;3",0
254,"I have so many mutuals that I don't speak to, speak to me, I don't bite",0
255,I am literally the biggest creep there is 😭 #creeplife #nothinggetspastme #justsaying,1
256,my dad told me to speak to his wife so she doesn't go off wtf I'll fight her.,0
257,good thing we didnt have a real summer this year.,1
258,"I hear the same shit everyday, Jemma do you have to speak so loud? Do you ever answer your phone? Replace the towel! Concentrate..YAWN",0
259,Janet Street Porter needs to let people speak and not be so rude.,0
260,Gonna act like i don't exists the rest of this week...so if u speak to me nd i dont acknowledge you thts why😒😴,0
261,"When u speak, u get judged. when u remain silent, people think u're weird. One of the reasons why people need to stop being so judgmental.",0
262,"So, the people who get sacked from Centrelink will have to speak to someone overseas who took their job...",0
263,So cool to have had the opportunity to hear former editor Harry Rosenfeld speak about journalism from Watergate to today,0
264,"i hate how everyone in this world is so fuckin suspect and secretive. when it comes to certain shit, at least speak what you feel.. fuck",0
265,I just love it when my work PC refuses to work #haveabettersetupathome,1
266,Global Forum #statelessness2014 Media panel - the issue is so political that many don't want to speak out&amp;make a bad situation worse,0
267,I'm currently exhausted and look like shit... Yay for being called into work... #Not,1
268,"I find myself frustrated to. But as a VC leader, a bit reluctant to speak out so vocally.",0
269,When I speak up when I'm not so post to 😐😐,0
270,"Teacher is too fast, boring and says too much things to know what to write yaaay",1
271,Thank you so much!! I'd love to speak to you about #entrepreneurship,0
272,Don't understand how one minute you can be so close to someone and then just not even speak when you see them,0
273,Why tf are you trying so hard to speak like you are uneducated?,0
274,"I could live here, could you?",0
275,I just love spending lunch with myself 😕 #not,1
276,Glad our new email is working so flawlessly #not #academyproblems #2manyfirewalls,1
277,I hate when you're at the grocery store and a good song comes on but the workers proceed to speak so much over the intercom like come on!!,0
278,having fun in English lab #not,1
279,"I'm glad the shorthand ""perc"" (for percussion) autocorrects to ""perv"" in my phone. Every. Single. Time.",1
280,"There is only like 2/3 people that i can speak to so much and not get bored or tired of, even if i havent seen/spoken to them in so long",0
281,Sometimes I cant even be bothered to speak so I just stare at people when they talk to me,0
282,I am living for my Frnds.. #Not for you #Bitch,1
283,"There’s a whole new group of political people, from Meghan to (CNN’s) Don Lemon.",0
284,I don't like for the fruit to be forward in my cup of Java.,1
285,I can speak to you so honestly I can't even run any game I can hear a million angels singing in my ears when I say your name,0
286,ACT SO DIFFERENTLY HE NEVER USED TO SPEAK TO ME THE WAY HE SPOKE TO OTHERS AND THEN LAST NOVEMBER I FOUND OUT +,0
287,Good thing I spent four years getting MLA formatting shoved down my throat. #itsAPA 😑👎,1
288,"Yes. I worry for you always, but not for others. Unless you worry, I won't. So, do speak to me?",0
289,Delighted to pay to watch two awful performances at Anfield in the space of 4 days,1
290,ah well will see in the morning lol I'm off to bed so will speak to you on the morning 😀,0
291,i get so annoyed when people try to speak to me whilst i'm listening to music,0
292,I'm glad I still get fire drill notifications from Jessup. #not 🙅,1
293,I wish some people would realize how they speak to us at work.. Some people are so rude.,0
294,"if you want to be cool, we can be cool. but your appraisal of the event is based on limited knowledge, so speak softly",0
295,I love being up half the night unable to breathe and coughing #yuck,1
296,Good thing I was prepared for the rain. In my white shirt. With my resume paper and laptop in my bag. #not #soggy,1
297,"Ah, i speak dutch so i understand some words. But were is Austria, is it near to Germany?",0
298,Wanting to be alone with your thoughts on the morning walk but having to speak to neighbors so as not to seem rude. #introvertproblems,0
299,He said I'm so hard to get &amp; iont acknowledge him of even speak 😩 .. That's funny 😂 iont even know him Thoe 😐,0
300,"I'm gonna let it slide today, but next time this fat douche decides to come in the library and speak so loudly this early it's over.",1
301,If you have an accent ill probably force a conversation just to hear you speak lol I think its so beautiful and different,0
302,Im going back...#not #nationwide #paytonmanning,1
303,Oh how I love getting lost in Bridgeport😅,1
304,So cool to hear Dr. Gerald Rubin speak at our #LeadershipLunch #Leadership #Lunch ! wish could be here! 🔬,0
305,Every time😩 #thg#the#hunger#games#quote#katniss#peeta#mockingjay#real#or#not#real#lfl#f4...,0
306,I do as well. Are you planning on shooting a music video for your new single? If so email me to speak further into it g.,0
307,Gonna be another long sleepless night. Might as well do college work. My life is so interesting.. #not,1
308,I know you'll never follow me but hey today is my lucky day#yeahright you'll neverknow,0
309,I really want to go visit my family in Spain but I also speak no Spanish and my FAM is super old so I have no turn up buddies.,0
310,"Great speeds, . I'm always waiting for my computer to start smoking. #at&amp;t #uverse",1
311,I have to do a presentation in the morning with a girl that doesn't speak English OR Spanish so ima be completely lost,0
312,Been in the UK so I'm just catching up with Saturated- can't wait to hear God speak through your sermon!!,0
313,"Hahaha wait, tell me again about all your horrible life problems!",1
314,If you would just shut your mouth and listen... Don't be so fast to speak.,0
315,I would LOVE to but sadly am back in Denver. If there's ever another chance I would be so honored to see you speak again! &lt;3,0
316,I can see the dead. So I'll speak to their dead loved ones and ask them to haunt them.,0
317,I love when my professor asks someone to speak up so we can all hear and they say ok then talk the same .... Okay thanks lol,1
318,I just love being 5ft9.,1
319,yo mama's so topical they invite her to conferences to speak about current events,0
320,Another private audience. Why is Mr Cameron so scared to speak to ordinary Scots? #indyref,1
321,I know ! Honestly I'm really happy you understand what I'm saying. It's the most stressful thing for me to just speak up so I,0
322,I love that pappadeaux let's me get off work around traffic hour. #ha #not,1
323,I love slowly loosing friends. It's the best feeling ever lol,1
324,"If you wish ten good things for your country, one might, thanks to God, be granted...so, speak well of self, family and country",0
325,Being sick was obviously the highlight of my day!!,1
326,People really fake and be so quick to speak on how real they are lol,0
327,I love how Tina can't pick up my calls or reply to my texts but she can like my Instagram picture!! #NOT,1
328,I just find it funny when people in my family talk like a dog bout me when they fuckin up to.. so from here on out ..i speak when spoken to,0
329,As you can probably tell he's just bursting with energy #not 😴,1
330,I LITERALLY HAD THE WORST DAY OMG #nothankyou,0
331,"So Christ called them over to him and began to speak to them in parables: ""How can Satan drive out Satan?",0
332,I literally go grocery shopping to relax. Nothing is more calm to me than a three hour trip to Walmart. #notbeingsarcastic,1
333,I love going to schoolf for 7 hours then working a 7 hour shift for 3 days strait every week 😁 tweet 😩,1
334,I hope it is. Smh I hate English. We already speak it. And I'm damn sure no one in here wants to be an author so what's the point,0
335,If you know something that is so bad that it will destroy the #middleclass are you prepared to speak up? We need...,0
336,"I love listening to people speak different languages, it's so interesting.",0
337,I love waking up the the smell of weed in the morning #not,1
338,"Just finished a dry run of my #surgecon talk! Just about 54 minutes, so I need to cut some slides for sure... or learn to speak really fast!",0
339,"I may have a gluten allergy, which was y'know... the news of the day. Fuuuuuuuuuuuun",1
340,I have two tests tomorrow and I can't sleep. Woot woot😒😞 #not #TeamIWantSleep,1
341,Great way to start off my morning #not,1
342,I like fake smiles and,1
343,"If u think u r so perfect, then don't even speak to me.",1
344,"actions show who someone really is, words just show who they want to be so speak to me with your actions",0
345,Having soo much fun doing homework right now -_- tweet,1
346,Don't you just love when you lock yourself out of your apartment,1
347,"So cute he learning how to speak two or more words at a time. ""Go there sit sit"" even though its here not there.",0
348,"Congratulations Billy Horschel. In the past three weeks, he’s earned $13.48 million!",0
349,I love when I miss the bus by 1 minute 😊😊😊😊😊😊😊 #not,1
350,"First time to ever speak on the mic, not so bad",0
351,"I heard this guy say ""Peewdiepie"" in class and i was about to fangirl with him when i realized, i don't like that guy so i wont speak to him",0
352,I love it when my phone starts to act up like this,1
353,Going through all your Android devices and updating them and their browsers is SUCH fun! #not,1
354,I have so much stuff to say to you but ik when it comes the time to speak to you I'll forget all the stuff,0
355,I love shoveling out tons of money for new tires on my car. #not,1
356,follows so many of my friends like babe if you wanna know about me just speak to me 😂❤️,0
357,If I know you don't like me I'll make sure I talk to you so you have to speak back! 😂,0
358,Being at the hospital all day was the highlight of the day 😷 #not,1
359,Awesome just found my lingerie and scrap booking boxes. Just what I've been missing. #NOT,1
360,Why? Raven I'm so happy I can speak to you again. I was afraid I would never speak to you again. ^_^ Im so happy *he hugs tight*,0
361,I love spending my whole day off doing homework #not,1
362,i just got home but im just gna fall asleep im so tired so SPEAK TO U TOMORROW �_�,0
363,Another day that's off to a great start...,1
364,I love it when I sleep through my alarm and i'm late for work!!! #not,1
365,I like how my bf goes on a following spree and follows all these stupid hoes he doesn't know. 🙅 😒,1
366,"Don't put your life at risk for crappy, cliche railroad track photos.",0
367,Ion wanna link with no one. Please speak up when you see me tho. So I'll know how to handle you,0
368,"Great to see you Anita, so glad you got a chance to speak with everyone too - see you in October if not before!",0
369,"As we have been approved by God to be entrusted with the Gospel, so we speak, not pleasing men, but God, who tests our heart. #1Thess2:4",0
370,just been informed we are going so speak to matt,0
371,I'm just having the most greatest day... #not,1
372,Thank you for coming to UCO to speak to us! So inspiring and empowering! #EmbracingRealBeauty #Embracing #Real #Beauty,0
373,"i find it so funny when customers ask to speak to the manager, shit go ahead lmfao",0
374,I love LA because you can leave 2 hours before work and get caught in a shutdown freeway and show up 30 minutes late -__-,1
375,but the week after they gave me another chance and i got to speak to them !!! so maybe something rly good will happen soon oo,0
376,"Hi Kate, we're very sorry about this. Please email your order # to https://t.co/VZ2eZIYFyk so we can speak with you",0
377,Just cos I speak to other people doesn't mean I'm 'leaving you all' I don't even like you anyway so why's it matter,0
378,Thanks so much for your time today Freddie. Was great to speak to you and I hope the academy is a huge success.,0
